id,centroid_lon,centroid_lat,area_m2,equivalent_diameter_m,perimeter_m,eccentricity,solidity,touches_edge,height_m,shadow_length_m,height_reason,confidence,confidence_bucket,signal_shape,signal_size,signal_separation,signal_shadow,detector_score
1,-5.9502582,39.9316092,7.13,3.013,9.665,0.7032,0.9189,True,,,unavailable,0.7894,high,0.9591,0.7673,0.6079,0.0,
2,-5.9514298,39.9315992,15.308,4.415,15.098,0.5879,0.9012,True,,,unavailable,0.7304,high,0.8439,0.8607,0.4639,0.0,
3,-5.9509838,39.9316039,8.178,3.227,10.787,0.5138,0.8864,True,,,unavailable,0.6054,medium,0.8832,0.5936,0.2838,0.0,
4,-5.9517915,39.9316005,5.871,2.734,9.191,0.9295,0.8235,True,,,unavailable,0.5638,medium,0.8734,0.7559,0.0,0.0,
5,-5.951533,39.9315978,2.516,1.79,5.354,0.7692,0.8571,False,,,unavailable,0.5953,medium,1.0,0.7049,0.0,0.0,
6,-5.9502276,39.9315993,12.162,3.935,11.86,0.5699,0.9667,True,,,unavailable,0.8565,high,1.0,0.8825,0.6583,0.0,
7,-5.9486139,39.9315943,9.646,3.505,10.454,0.6648,1.0,False,,,unavailable,0.8114,high,1.0,0.8739,0.5227,0.0,
8,-5.9493764,39.9315884,13.211,4.101,12.887,0.4817,0.9403,False,,,unavailable,0.785,high,0.9996,0.8658,0.4466,0.0,
9,-5.9509453,39.9315884,16.356,4.563,16.266,0.7385,0.8667,False,,,unavailable,0.7169,high,0.7769,0.7597,0.6021,0.0,
10,-5.9501688,39.9315909,2.936,1.933,6.08,0.8518,0.875,False,,,unavailable,0.5721,medium,0.9978,0.6334,0.0,0.0,
11,-5.9488607,39.9315827,6.081,2.783,8.197,0.5343,0.9667,False,,,unavailable,0.8029,high,1.0,0.7109,0.6583,0.0,
12,-5.9510252,39.9315803,14.469,4.292,12.508,0.0,1.0,False,,,unavailable,0.8361,high,1.0,0.622,0.8535,0.0,
13,-5.9482762,39.9315788,17.614,4.736,17.94,0.7323,0.7778,False,,,unavailable,0.6792,medium,0.6877,0.7681,0.5802,0.0,
14,-5.9502733,39.9315786,15.937,4.505,14.987,0.5697,0.9048,False,,,unavailable,0.8384,high,0.8916,0.97,0.6429,0.0,
15,-5.9485543,39.931575,18.243,4.82,15.366,0.586,0.9457,False,,,unavailable,0.7257,high,0.9709,0.3971,0.7601,0.0,
16,-5.9482349,39.9315684,7.13,3.013,10.028,0.8753,0.8947,False,,,unavailable,0.5544,medium,0.8909,0.2752,0.4299,0.0,
17,-5.9501885,39.9315651,35.229,6.697,23.831,0.5512,0.8842,False,,,unavailable,0.506,medium,0.7795,0.0,0.6837,0.0,
18,-5.9493224,39.9315625,29.776,6.157,19.788,0.3809,0.9221,False,,,unavailable,0.6087,medium,0.9556,0.0,0.801,0.0,
19,-5.9486097,39.9315652,12.372,3.969,12.413,0.6808,0.9516,False,,,unavailable,0.8658,high,1.0,0.9178,0.6527,0.0,
20,-5.9513219,39.931549,3.355,2.067,5.986,0.8596,0.9412,False,,,unavailable,0.6051,medium,1.0,0.2933,0.4431,0.0,
